UTC(hours),Swin(W.m-2),Qnet(W.m-2),thetam(K),qm(g.kg-1),GR1(W.m-2),GR2(W.m-2),um(m.s-1),cm(ppm),NEE(mgCO2.m-2.s-1),SH(W.m-2),LE(W.m-2)
0.0,0.0,-83.20,287.69,-9999.00,-65.28,-58.21,0.33,451.10,-0.04,-0.96,4.19
0.5,0.0,-80.82,286.85,-9999.00,-67.79,-61.45,0.31,457.60,-0.07,-8.21,3.03
1.0,0.0,-67.65,286.10,-9999.00,-68.05,-62.01,0.30,530.90,0.85,-1.55,1.68
1.5,0.0,-51.93,285.77,-9999.00,-65.97,-60.44,0.43,-9999.00,-9999.00,-3.70,-1.38
2.0,0.0,-43.41,285.33,-9999.00,-64.97,-59.95,0.37,570.10,0.41,-2.11,-2.97
2.5,0.0,-38.56,285.06,-9999.00,-63.58,-58.60,0.29,-9999.00,0.07,-0.17,-1.71
3.0,0.0,-35.26,284.50,-9999.00,-63.70,-58.82,0.36,-9999.00,0.06,-0.04,0.01
3.5,0.0,-31.93,284.31,-9999.00,-62.26,-57.52,0.39,-9999.00,-9999.00,-4.69,3.01
4.0,0.0,-29.72,284.17,-9999.00,-60.61,-56.08,0.36,547.30,0.43,-1.60,0.46
4.5,6.3,-23.98,284.01,-9999.00,-57.57,-53.88,0.32,547.10,-0.01,-0.35,-1.69
5.0,29.4,-6.10,284.01,-9999.00,-49.95,-47.56,0.39,568.50,0.03,-0.84,-1.23
5.5,93.6,54.50,284.61,-9999.00,-37.65,-37.17,0.28,506.90,0.02,1.87,2.91
6.0,135.3,90.32,286.30,-9999.00,-25.10,-26.45,0.32,458.20,0.00,3.37,5.73
6.5,199.1,139.26,287.68,-9999.00,39.76,28.23,0.56,444.50,-0.12,7.16,25.14
7.0,275.4,198.45,288.77,-9999.00,71.70,55.05,0.82,418.60,-0.28,14.82,57.98
7.5,355.3,211.25,289.71,-9999.00,46.09,62.61,0.97,405.20,-0.34,24.83,75.47
8.0,433.7,267.33,290.55,-9999.00,103.00,76.40,0.89,395.70,-0.67,58.88,114.50
8.5,502.2,326.60,291.41,-9999.00,156.50,30.68,0.81,388.10,-0.64,65.74,117.50
9.0,559.9,377.20,292.28,-9999.00,56.70,98.80,0.76,381.90,-0.60,59.62,131.70
9.5,645.8,449.00,292.79,-9999.00,152.80,-9999.00,1.04,383.90,-0.73,76.34,145.70
10.0,705.7,499.40,293.19,-9999.00,103.80,114.80,1.04,379.10,-0.69,86.46,163.90
10.5,754.7,542.60,293.73,-9999.00,164.80,91.20,1.32,375.60,-0.88,99.15,212.90
11.0,791.7,574.90,294.40,-9999.00,87.10,98.30,1.13,372.50,-1.00,113.10,212.90
11.5,819.7,603.40,295.04,-9999.00,-9999.00,197.60,0.85,371.40,-0.90,101.60,165.00
12.0,835.7,618.60,295.48,-9999.00,82.90,152.40,0.81,369.80,-0.92,102.50,198.20
12.5,847.7,628.40,295.99,-9999.00,23.50,-9999.00,1.07,367.50,-0.93,105.80,165.00
13.0,723.7,525.00,296.12,-9999.00,107.00,171.10,0.87,367.10,-0.71,93.83,197.10
13.5,798.7,591.90,296.32,-9999.00,-9999.00,177.70,0.70,367.40,-1.04,108.50,305.40
14.0,749.7,543.60,296.56,-9999.00,-9999.00,89.10,0.94,367.60,-0.61,94.88,199.80
14.5,729.7,522.00,297.25,-9999.00,173.30,23.29,0.58,365.10,-0.52,97.32,132.80
15.0,661.7,460.70,297.12,-9999.00,122.80,123.80,0.66,364.80,-0.66,78.00,191.70
15.5,651.9,447.70,297.43,-9999.00,117.70,139.60,0.97,363.70,-0.84,81.28,179.10
16.0,593.8,395.40,297.61,-9999.00,89.10,113.20,1.16,366.20,-0.69,67.11,175.00
16.5,574.5,376.50,297.91,-9999.00,91.70,111.30,0.87,367.30,-0.73,74.85,303.90
17.0,487.2,301.60,297.77,-9999.00,39.91,54.11,1.53,365.80,-0.61,63.18,198.60
17.5,424.4,244.30,297.90,-9999.00,38.96,19.18,1.33,365.70,-0.57,58.97,174.40
18.0,338.5,174.95,297.85,-9999.00,-49.87,15.19,1.59,365.10,-0.46,36.13,168.30
18.5,265.7,120.64,297.52,-9999.00,-4.94,-47.18,1.56,363.70,-0.31,16.56,146.30
19.0,197.9,67.74,296.97,-9999.00,-24.42,-50.90,1.76,363.20,-0.20,3.52,109.20
19.5,155.9,31.98,296.46,-9999.00,-50.06,-52.07,1.79,363.00,-0.09,-7.06,85.49
20.0,93.7,-14.65,295.71,-9999.00,-51.28,-53.56,1.51,364.90,0.02,-16.15,65.65
20.5,45.8,-44.48,294.83,-9999.00,-53.69,-58.22,1.21,368.90,0.10,-22.77,52.97
21.0,8.7,-66.95,293.57,-9999.00,-59.32,-62.22,0.90,377.60,0.11,-8.01,20.33
21.5,0.0,-69.76,292.75,-9999.00,-59.83,-63.03,0.97,381.80,0.18,-15.21,23.08
22.0,0.0,-64.91,292.51,-9999.00,-55.77,-59.89,1.16,382.40,0.26,-25.98,31.76
22.5,0.0,-61.00,292.51,-9999.00,-51.54,-56.93,1.61,383.10,0.30,-33.66,41.12
23.0,0.0,-58.08,292.46,-9999.00,-47.47,-53.24,1.80,382.90,0.25,-31.84,38.23
23.5,0.0,-53.66,292.33,-9999.00,-42.29,-47.75,1.58,385.00,0.30,-32.23,36.03
