        P4        day      smi_i  curvature   Swin_max   SWin_int   Qnet_max   Qnet_int     LE_max     LE_int  LEveg_max  LEveg_int LEsoil_max LEsoil_int  LEliq_max  LEliq_int     SH_max     SH_int     GR_max     GR_int evafra_ave        beta_ave     Ra_14h     Ra_ave          Rs_14h          Rs_ave   Anet_min   Resp_max    NEE_min    wce_min   Anet_int   Resp_int    NEE_int    wce_int  wce_h_int  wcs_h_int    wce_wcs      WUEplt_ave      WUEeco_ave      WUEint_ave      WUEplt_std      WUEeco_std      WUEint_std   tm_range     tm_max     qm_ave  co2_range    co2_min      h_max      h_ran  lcl_h_min   wg_range     ts_max  wqe_h_int  wqs_h_int    wqe_wqs    wqe_int    VPD_ave     CD_ave   Anet_SUM    DTU_SUM        DVR evafra_14h  SWnet_12h  SWnet_int    thetam0        lai       cveg     qm_18h    wts_int    wte_int  wts_h_int  wte_h_int   w2_range       wg_0       w2_0
   0.00000 216.0000000        nan    0.00000  783.87000   23.86101  512.68000   14.61709  310.68000    9.02940  300.92000    8.72734    9.76240    0.30207    0.00000    0.00000  181.82000    4.80920   23.82600    0.77848    0.71168         0.65584   25.48000   30.82718       114.20000       123.68111   -1.67800    0.12260   -1.55680   -3.98800  -53.88664    4.31075  -49.57588  -24.78801  -31.82000  -35.94000    0.88536        -4.93837        -4.36450        -0.07945         2.31231         2.05652         0.01610   12.81000  298.85000    9.30904   68.10000  353.80000 1239.50000 1009.45000  114.75000    0.01015  301.12000   -3.89451    3.42166   -1.13819   -7.19486   10.02063  147.00978   53.84000    0.00000    0.00000    0.70890  626.24000   19.13653  286.04000    0.00387    0.00386    9.88000    4.81413    1.10929    6.34082    1.40191    0.00240    0.11000    0.11000
   0.00000 217.0000000        nan    0.00000  783.87000   23.86101  511.67000   14.58578  301.98000    8.78957  293.74000    8.53425    8.24660    0.25532    0.00000    0.00000  189.06000    5.00698   24.15000    0.78923    0.69762         0.69722   25.35000   30.71619       121.70000       131.19222   -1.62200    0.12480   -1.49890   -4.08100  -52.11558    4.37599  -47.73959  -25.93514  -32.65000  -34.31000    0.95162        -4.88208        -4.31696        -0.08156         2.29100         2.04360         0.01680   12.97000  299.01000    9.25309   67.20000  354.70000 1256.50000 1026.45000  114.98000    0.00948  301.36000   -3.87081    3.29661   -1.17418   -7.19262   10.28893  149.69569   52.07000    0.00000    0.00000    0.69209  626.24000   19.13653  286.04000    0.00439    0.00438    9.77900    5.01211    1.14477    6.48429    1.42552    0.00250    0.09980    0.10760
   0.00000 218.0000000        nan    0.00000  783.87000   23.86101  510.56000   14.55136  292.41000    8.52507  285.82000    8.32096    6.61570    0.20411    0.00000    0.00000  197.03000    5.22544   24.49900    0.80085    0.68199         0.74539   25.20000   30.58064       130.40000       139.80861   -1.56300    0.12730   -1.43760   -4.17700  -50.23429    4.44813  -45.78616  -27.18005  -33.53000  -32.59000    1.02884        -4.82405        -4.26804        -0.08386         2.26840         2.02961         0.01757   13.14000  299.18000    9.19346   66.40000  355.50000 1274.90000 1044.85000  115.15000    0.00908  301.63000   -3.84447    3.16263   -1.21559   -7.18723   10.58236  152.63689   50.19000    0.00000    0.00000    0.67334  626.24000   19.13653  286.04000    0.00497    0.00496    9.67100    5.23081    1.18398    6.63989    1.45120    0.00260    0.09030    0.10510
   0.00000 219.0000000        nan    0.00000  783.87000   23.86101  509.35000   14.51371  281.91000    8.23470  277.05000    8.08461    4.91260    0.15008    0.00000    0.00000  205.79000    5.46571   24.87300    0.81331    0.66470         0.80176   25.05000   30.42219       140.50000       149.74889   -1.50000    0.13010   -1.37210   -4.28300  -48.23427    4.52779  -43.70648  -28.53241  -34.47000  -30.80000    1.11916        -4.76457        -4.21720        -0.08634         2.24447         2.01502         0.01841   13.32000  299.36000    9.13021   65.60000  356.30000 1294.80000 1064.75000  115.26000    0.00808  301.92000   -3.81553    3.01951   -1.26362   -7.17803   10.90189  155.84300   48.19000    0.00000    0.00000    0.65258  626.24000   19.13653  286.04000    0.00563    0.00562    9.55600    5.47131    1.22715    6.80774    1.47900    0.00268    0.08141    0.10250
   0.00000 220.0000000        nan    0.00000  783.87000   23.86101  508.06000   14.47343  270.61000    7.92280  267.33000    7.82118    3.35940    0.10160    0.00000    0.00000  215.25000    5.72438   25.26300    0.82625    0.64597         0.86713   24.90000   30.25481       152.30000       161.22319   -1.43300    0.13310   -1.30230   -4.39600  -46.11150    4.61451  -41.49700  -29.99404  -35.46000  -28.94000    1.22529        -4.70499        -4.16131        -0.08900         2.21908         1.99908         0.01933   13.52000  299.56000    9.06428   64.70000  357.20000 1316.00000 1085.94000  115.30000    0.00593  302.22000   -3.78362    2.86958   -1.31853   -7.16268   11.24314  159.28131   46.07000    0.00000    0.00000    0.63014  626.24000   19.13653  286.04000    0.00639    0.00636    9.43800    5.73025    1.27370    6.98508    1.50846    0.00268    0.07371    0.09980
   0.00000 221.0000000        nan    0.00000  783.87000   23.86101  506.74000   14.43285  259.14000    7.60711  256.92000    7.53781    2.28390    0.06930    0.00000    0.00000  224.89000    5.98699   25.64400    0.83875    0.62680         0.93909   24.75000   30.09664       165.30000       173.98167   -1.36400    0.13620   -1.23050   -4.50800  -43.93879    4.70436  -39.23443  -31.50496  -36.47000  -27.08000    1.34675        -4.64842        -4.09773        -0.09168         2.19372         1.97987         0.02027   13.72000  299.76000    8.99951   63.90000  358.00000 1337.20000 1107.14000  115.34000    0.00365  302.53000   -3.75049    2.72154   -1.37808   -7.14172   11.58671  162.76018   43.90000    0.00000    0.00000    0.60730  626.24000   19.13653  286.04000    0.00724    0.00721    9.32200    5.99311    1.32103    7.16179    1.53792    0.00262    0.06841    0.09710
   0.00000 222.0000000        nan    0.00000  783.87000   23.86101  505.46000   14.39338  247.95000    7.29906  246.27000    7.24631    1.72460    0.05274    0.00000    0.00000  234.32000    6.24397   25.99800    0.85037    0.60788         1.01533   24.61000   29.94754       179.50000       187.71222   -1.29600    0.13940   -1.15970   -4.62000  -41.80138    4.79402  -37.00736  -33.00480  -37.45000  -25.29000    1.48082        -4.59682        -4.02799        -0.09428         2.16953         1.95571         0.02119   13.91000  299.95000    8.93834   63.00000  358.90000 1357.60000 1127.54000  115.37000    0.00239  302.83000   -3.71791    2.58086   -1.44057   -7.11748   11.91988  166.14747   41.76000    0.00000    0.00000    0.58473  626.24000   19.13653  286.04000    0.00820    0.00817    9.21400    6.25037    1.36740    7.33122    1.56624    0.00251    0.06571    0.09450
   0.00000 223.0000000        nan    0.00000  783.87000   23.86101  504.20000   14.35437  236.84000    6.99334  235.44000    6.94954    1.42810    0.04381    0.00000    0.00000  243.68000    6.49962   26.33600    0.86141    0.58890         1.09753   24.48000   29.79733       194.90000       202.59431   -1.22900    0.14260   -1.08980   -4.72900  -39.70059    4.88446  -34.81613  -34.49597  -38.40000  -23.57000    1.62919        -4.54889        -3.95461        -0.09686         2.14638         1.92824         0.02211   14.09000  300.13000    8.87958   62.30000  359.60000 1377.60000 1147.54000  115.49000    0.00187  303.13000   -3.68579    2.44510   -1.50742   -7.09050   12.24855  169.49972   39.66000    0.00000    0.00000    0.56207  626.24000   19.13653  286.04000    0.00929    0.00925    9.10900    6.50628    1.41357    7.49681    1.59402    0.00238    0.06441    0.09200
   0.00000 224.0000000        nan    0.00000  783.87000   23.86101  502.95000   14.31544  225.72000    6.68721  224.53000    6.64962    1.22470    0.03759    0.00000    0.00000  253.06000    6.75616   26.66100    0.87206    0.56969         1.18736   24.35000   29.64292       211.90000       218.80528   -1.16300    0.14580   -1.02100   -4.83500  -37.63908    4.97606  -32.66302  -35.98240  -39.34000  -21.90000    1.79635        -4.50377        -3.87943        -0.09941         2.12384         1.89929         0.02303   14.27000  300.31000    8.82250   61.60000  360.30000 1397.30000 1167.24000  115.51000    0.00158  303.42000   -3.65360    2.31255   -1.57990   -7.06038   12.57536  172.84829   37.60000    0.00000    0.00000    0.53911  626.24000   19.13653  286.04000    0.01053    0.01047    9.00900    6.76308    1.45995    7.66004    1.62146    0.00225    0.06361    0.08960
   0.00000 225.0000000        nan    0.00000  783.87000   23.86101  501.69000   14.27660  214.61000    6.38089  213.57000    6.34832    1.06120    0.03257    0.00000    0.00000  262.45000    7.01338   26.97500    0.88232    0.55027         1.28599   24.22000   29.48350       230.40000       236.47917   -1.09900    0.14900   -0.95360   -4.94200  -35.62313    5.06845  -30.55468  -37.46014  -40.24000  -20.31000    1.98129        -4.46137        -3.80304        -0.10194         2.10194         1.86970         0.02396   14.45000  300.49000    8.76704   60.90000  361.00000 1416.90000 1186.84000  115.53000    0.00137  303.71000   -3.62137    2.18300   -1.65890   -7.02730   12.90113  176.18824   35.59000    0.00000    0.00000    0.51593  626.24000   19.13653  286.04000    0.01193    0.01185    8.91100    7.02057    1.50648    7.82088    1.64857    0.00213    0.06301    0.08730
