DOY,Hr,Mn,DOY,Hr,Mn,Mean(TSon),Mean(q),H(Sonic),LvE,UStar,MeanCO2,FCO2
-,-,-,-,-,-,[K],[kg/kg],[W/m^2],[W/m^2],[m/s],[kg/m^3],[kg/m^2/s^1]
167,0,0,167,0,30,286.43,7.49E-03,-2.4158,-0.62901,2.90E-02,7.98E-04,1.94E-07
167,0,30,167,1,0,285.4,7.38E-03,-5.3372,-0.27284,6.42E-02,9.00E-04,3.95E-07
167,1,0,167,1,30,284.5,7.35E-03,1.3506,0.51097,5.92E-02,9.46E-04,-7.22E-08
167,1,30,167,2,0,283.74,7.34E-03,-2.9129,-0.79423,2.92E-02,1.05E-03,2.31E-08
167,2,0,167,2,30,283.73,7.37E-03,-0.76975,-0.41047,2.19E-02,1.02E-03,1.13E-07
167,2,30,167,3,0,283.35,7.28E-03,1.2112,0.38745,5.28E-02,1.10E-03,2.60E-07
167,3,0,167,3,30,282.73,7.10E-03,1.2671,1.5118,4.74E-02,1.07E-03,-3.26E-08
167,3,30,167,4,0,283.26,7.23E-03,0.2823,0.41345,3.98E-02,1.03E-03,-9.12E-09
167,4,0,167,4,30,282.75,6.99E-03,-0.39857,-0.1997,2.52E-02,1.12E-03,7.70E-08
167,4,30,167,5,0,283.35,7.24E-03,0.88358,2.5537,4.30E-02,1.05E-03,2.49E-07
167,5,0,167,5,30,285.27,7.90E-03,7.5122,20.823,5.34E-02,8.76E-04,7.28E-08
167,5,30,167,6,0,286.25,8.25E-03,11.119,27.549,3.76E-02,8.15E-04,-2.27E-07
167,6,0,167,6,30,287.76,8.57E-03,27.841,56.241,6.14E-02,7.94E-04,-8.94E-08
167,6,30,167,7,0,289.34,8.46E-03,37.068,65.832,8.02E-02,7.31E-04,-6.61E-07
167,7,0,167,7,30,290.14,8.04E-03,37.361,86.334,7.49E-02,6.81E-04,-3.32E-07
167,7,30,167,8,0,290.85,7.17E-03,62.521,168.62,0.14541,6.60E-04,-3.91E-07
167,8,0,167,8,30,291.39,6.85E-03,61.418,194.21,7.63E-02,6.58E-04,-3.79E-07
167,8,30,167,9,0,291.8,7.04E-03,71.39,242.72,9.14E-02,6.55E-04,-5.85E-07
167,9,0,167,9,30,292.27,7.01E-03,77.92,237.99,0.13816,6.52E-04,-5.01E-07
167,9,30,167,10,0,292.82,7.19E-03,83.208,237.25,0.17651,6.49E-04,-3.87E-07
167,10,0,167,10,30,293.13,7.18E-03,85.334,276.66,0.18389,6.49E-04,-5.65E-07
167,10,30,167,11,0,293.34,7.12E-03,71.971,266.92,0.18162,6.51E-04,-4.68E-07
167,11,0,167,11,30,293.97,7.48E-03,100.1,341.61,0.14015,6.47E-04,-6.35E-07
167,11,30,167,12,0,294.23,7.47E-03,90.814,324.71,0.11552,6.47E-04,-5.70E-07
167,12,0,167,12,30,294.59,7.60E-03,78.185,296.52,0.17527,6.45E-04,-5.36E-07
167,12,30,167,13,0,295,7.62E-03,74.854,309.24,4.11E-02,6.43E-04,-4.96E-07
167,13,0,167,13,30,295.28,7.70E-03,71.7,311.38,7.23E-02,6.41E-04,-5.34E-07
167,13,30,167,14,0,295.29,7.64E-03,51.986,237.31,8.58E-02,6.40E-04,-3.28E-07
167,14,0,167,14,30,295.51,7.65E-03,72.442,268.87,0.17084,6.37E-04,-4.79E-07
167,14,30,167,15,0,295.68,7.63E-03,78.795,320.32,0.163,6.36E-04,-5.37E-07
167,15,0,167,15,30,295.78,7.95E-03,74.913,282.35,0.17625,6.33E-04,-4.60E-07
167,15,30,167,16,0,295.55,7.76E-03,38.582,163.53,0.2021,6.34E-04,-3.21E-07
167,16,0,167,16,30,295.45,7.85E-03,19.828,106.1,0.1679,6.34E-04,-2.19E-07
167,16,30,167,17,0,295.33,8.05E-03,14.086,105.77,0.18195,6.33E-04,-2.01E-07
167,17,0,167,17,30,295.24,8.06E-03,7.0461,80.581,0.1827,6.34E-04,-9.89E-08
167,17,30,167,18,0,294.96,8.02E-03,-5.9135,59.661,0.17378,6.36E-04,-5.30E-08
167,18,0,167,18,30,294.71,8.04E-03,-10.876,43.539,0.1649,6.38E-04,6.54E-08
167,18,30,167,19,0,294.46,7.95E-03,-7.8224,17.571,0.12025,6.44E-04,9.58E-08
167,19,0,167,19,30,293.83,8.16E-03,-11.983,8.8733,0.13058,6.49E-04,1.37E-07
167,19,30,167,20,0,293.18,8.32E-03,-14.196,5.7348,0.12718,6.58E-04,2.18E-07
