 WARNING from OUTDAT: variable DFS supplied without new independent TIME
*----------------------------------------------------------------------------
* Output table number  :  0 (=first output table)
* Output table format  : Spreadsheet output
* Simulation results
 
TIME	DVS	DFS	CTDU	LAI	RD	HT	WTOT	TADRW	WSO	WRT	WST	WLV	WLVD	WRTD	TSN	TSW	HI	PSO	ONC	NDEM	NUPT	TNUPT	NSUP	FERNA	FERNN	NSHH	RESCO2	RESTOT	RSCO2	APCAN	PPCAN	RAIN	IRRI	DWSUP	WCUL	WCLL	RSH2O	ATCAN	AESOIL	TSOIL	DAPAR	CCHK	NCHK	DDTR	TMAX	TMIN	DVP	WNM	DAYL	MAXQ	MAXSH	MAXSHSUN	MAXSHSHA	MAXSHSOIL	MAXSW	MAXSWSUN	MAXSWSHA	MAXSWSOIL	MAXLW	MAXLWSUN	MAXLWSHA	MAXLWSOIL	MAXLE	MAXLESUN	MAXLESHA	MAXLESOIL	MIDTSUN	MIDTSHA	MIDTSOIL	MIDTAIR	SWINSUM	SWNETSUM	LWNETSUM	QNETSUM	LESUM	SHSUM	GRSUM
 
   145.000    	  0.0000    	  1.0000    	  0.0000    	 1.87264E-03	  5.0000    	 2.80000E-03	 0.17024    	 8.51201E-02	  0.0000    	 8.51201E-02	  0.0000    	 8.51201E-02	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 4.02714E-03	 4.02714E-03	  0.0000    	  1.0357    	  10.000    	  0.0000    	 4.25600E-03	  5.6486    	 2.67355E-02	  94713.    	 0.12113    	 0.13409    	  0.0000    	  0.0000    	  4.6000    	 0.15000    	 0.15000    	  59196.    	 5.93306E-03	  3.3654    	  15.000    	  13897.    	  0.0000    	  0.0000    	 2.03904E+07	  25.400    	  12.600    	  1.6200    	  1.3000    	  15.862    	  356.54    	  106.57    	 5.16140E-02	-1.11019E-05	  106.52    	  460.18    	 0.51425    	 2.09630E-04	  459.66    	 -103.64    	-4.58187E-02	  0.0000    	 -103.59    	  249.97    	 0.41682    	 2.20731E-04	  249.55    	  25.542    	  24.915    	  33.504    	  25.003    	 2.03904E+07	 1.51107E+07	-3.86060E+06	 1.12501E+07	 8.25968E+06	 1.86537E+06	 1.12501E+06
   146.000    	 1.57713E-02	  2.0000    	 0.64662    	 3.00786E-03	  5.1065    	 2.80000E-03	 0.22387    	 0.11194    	  0.0000    	 0.11194    	  0.0000    	 0.11194    	  0.0000    	  0.0000    	 0.60451    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 3.56119E-03	 3.56119E-03	 4.02714E-03	  9.8668    	  0.0000    	  0.0000    	 6.83672E-03	  6.3211    	 5.24727E-02	  50712.    	 0.15219    	 0.15222    	  2.7000    	  0.0000    	  1.4246    	 8.59387E-02	 0.15000    	  31695.    	 5.69322E-03	  1.0745    	  16.527    	  18301.    	-1.44710E-05	  0.0000    	 1.67616E+07	  18.400    	  12.500    	  1.3900    	  2.1000    	  15.904    	  268.25    	  192.43    	 0.21393    	 1.95099E-04	  192.22    	  366.48    	 0.70387    	 5.50121E-04	  365.77    	 -98.231    	-8.96855E-02	  0.0000    	 -98.141    	  75.815    	 0.40025    	 3.55022E-04	  75.415    	  19.201    	  19.088    	  28.270    	  18.218    	 1.67616E+07	 1.20572E+07	-3.93842E+06	 8.11881E+06	 2.64654E+06	 4.66040E+06	 8.11881E+05
   147.000    	 2.81961E-02	  3.0000    	  1.1560    	 4.01146E-03	  5.2188    	 2.80000E-03	 0.28053    	 0.14027    	  0.0000    	 0.14027    	 6.07812E-07	 0.14027    	  0.0000    	  0.0000    	  1.1313    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 6.87724E-03	 6.87724E-03	 7.58833E-03	  9.3855    	  0.0000    	  0.0000    	 9.11884E-03	  6.5668    	 4.38653E-02	  43129.    	 0.15743    	 0.15742    	  5.5000    	  0.0000    	  3.2454    	 0.12027    	 0.15000    	  26956.    	 5.58208E-03	  1.6651    	  16.883    	  15422.    	 7.03679E-06	-6.13655E-06	 1.04544E+07	  18.900    	  11.100    	  1.4310    	  1.9000    	  15.945    	  175.23    	  48.783    	 6.64353E-02	 2.04670E-04	  48.716    	  231.85    	 0.61758    	 7.85008E-04	  231.23    	 -56.618    	-0.11576    	  0.0000    	 -56.502    	  126.45    	 0.43538    	 5.80338E-04	  126.01    	  18.926    	  19.219    	  21.540    	  18.660    	 1.04544E+07	 7.64230E+06	-2.63950E+06	 5.00281E+06	 4.09311E+06	 4.09419E+05	 5.00281E+05
   148.000    	 3.61735E-02	  4.0000    	  1.4831    	 5.94719E-03	  5.3464    	 2.80041E-03	 0.34506    	 0.17253    	  0.0000    	 0.17253    	 2.35218E-04	 0.17229    	  0.0000    	  0.0000    	  2.1864    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 1.44656E-02	  9.7148    	  0.0000    	  0.0000    	 1.35260E-02	  6.4290    	 5.76461E-02	  29263.    	 0.17735    	 0.17738    	  2.7000    	  0.0000    	  7.2896    	 0.19448    	 0.15000    	  18290.    	 3.94187E-03	 0.88722    	  16.533    	  17411.    	 1.77581E-05	  0.0000    	 7.94880E+06	  15.300    	  10.400    	  1.3900    	  1.4000    	  15.984    	  120.72    	  46.898    	 0.19688    	 6.57010E-04	  46.700    	  182.03    	 0.69700    	 1.33213E-03	  181.34    	 -61.319    	-0.17421    	  0.0000    	 -61.145    	  73.817    	 0.32591    	 6.75124E-04	  73.491    	  15.734    	  16.088    	  18.609    	  15.150    	 7.94880E+06	 6.01116E+06	-2.81982E+06	 3.19134E+06	 2.18334E+06	 6.88864E+05	 3.19134E+05
   149.000    	 4.12748E-02	  5.0000    	  1.6923    	 5.94810E-03	  5.4805    	 2.80112E-03	 0.41307    	 0.20653    	  0.0000    	 0.20653    	 6.38304E-04	 0.20590    	  0.0000    	  0.0000    	  2.1287    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 5.28724E-03	 5.28724E-03	 1.44656E-02	  10.038    	  0.0000    	  0.0000    	 1.35271E-02	  6.0173    	 4.70311E-02	  34796.    	 0.16072    	 0.16078    	 0.30000    	  0.0000    	  9.3191    	 0.22822    	 0.15000    	  21748.    	 3.27406E-03	 0.91645    	  15.776    	  18739.    	 6.39217E-06	  0.0000    	 8.55360E+06	  13.000    	  6.4000    	  1.1600    	  3.8000    	  16.023    	  139.12    	  62.956    	 0.27689    	 8.70142E-04	  62.678    	  198.50    	 0.74881    	 1.43281E-03	  197.75    	 -59.381    	-0.19504    	  0.0000    	 -59.186    	  76.165    	 0.27688    	 5.62664E-04	  75.888    	  13.277    	  13.544    	  14.913    	  12.799    	 8.55360E+06	 6.56644E+06	-3.00031E+06	 3.56614E+06	 2.25331E+06	 9.56209E+05	 3.56614E+05
   150.000    	 4.30754E-02	  6.0000    	  1.7661    	 7.43609E-03	  5.6075    	 2.80154E-03	 0.47767    	 0.23883    	  0.0000    	 0.23883    	 8.78196E-04	 0.23796    	  0.0000    	  0.0000    	  2.9271    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 1.20238E-02	 1.20238E-02	 1.97528E-02	  9.9482    	  0.0000    	  0.0000    	 1.69156E-02	  5.2759    	 0.11922    	  24875.    	 0.44647    	 0.44718    	  0.0000    	  0.0000    	  8.9137    	 0.21718    	 0.15000    	  15547.    	 2.12213E-02	  4.1824    	  14.353    	  67171.    	 1.00980E-05	  0.0000    	 2.51424E+07	  19.900    	  6.3000    	 0.98000    	  2.9000    	  16.060    	  480.56    	  166.04    	 0.63062    	 4.16767E-04	  165.41    	  579.74    	  2.3727    	 2.96450E-03	  577.36    	 -99.179    	-0.26955    	  0.0000    	 -98.909    	  314.51    	  1.4725    	 2.54773E-03	  313.04    	  20.531    	  19.776    	  26.429    	  19.486    	 2.51424E+07	 1.92095E+07	-4.37495E+06	 1.48346E+07	 1.02990E+07	 3.05214E+06	 1.48346E+06
   151.000    	 5.19667E-02	  7.0000    	  2.1306    	 1.08125E-02	  5.9722    	 2.80400E-03	 0.66361    	 0.33180    	  0.0000    	 0.33180    	 2.28073E-03	 0.32952    	  0.0000    	  0.0000    	  4.7096    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 1.98263E-02	 1.98263E-02	 3.17766E-02	  9.4515    	  0.0000    	  0.0000    	 2.46215E-02	  5.3085    	 0.18919    	  14218.    	 0.59625    	 0.59613    	  3.3000    	  0.0000    	  5.1383    	 0.14436    	 0.15000    	  8886.0    	 2.41629E-02	  2.7385    	  14.453    	  66824.    	-1.25846E-05	 2.34467E-05	 1.71072E+07	  20.900    	  9.6000    	  1.4400    	  2.0000    	  16.096    	  308.60    	  96.129    	 0.41961    	 1.40902E-03	  95.708    	  381.12    	  2.5447    	 7.14868E-03	  378.57    	 -72.521    	-0.30983    	  0.0000    	 -72.211    	  212.47    	  1.8152    	 5.73967E-03	  210.65    	  21.186    	  21.095    	  25.956    	  20.558    	 1.71072E+07	 1.26489E+07	-3.21277E+06	 9.43617E+06	 6.76844E+06	 1.72411E+06	 9.43617E+05
   152.000    	 6.23977E-02	  8.0000    	  2.5583    	 1.63660E-02	  6.4224    	 2.81006E-03	 0.89489    	 0.44745    	  0.0000    	 0.44745    	 5.73378E-03	 0.44171    	  0.0000    	  0.0000    	  7.7121    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 5.16029E-02	  9.8590    	  0.0000    	  0.0000    	 3.73279E-02	  5.5787    	 0.35602    	  10060.    	  1.2132    	  1.2131    	  0.0000    	  0.0000    	  6.1808    	 0.15468    	 0.15000    	  6287.7    	 6.13985E-02	  3.5799    	  14.978    	 1.45389E+05	-8.56802E-06	 1.44383E-05	 2.47968E+07	  24.400    	  8.6000    	  1.2300    	  1.6000    	  16.130    	  425.47    	  167.01    	 0.36674    	-9.62156E-04	  166.64    	  554.36    	  5.1375    	 1.46368E-02	  549.21    	 -128.89    	-0.51547    	  0.0000    	 -128.37    	  258.46    	  4.2553    	 1.55989E-02	  254.19    	  24.420    	  23.812    	  35.012    	  23.923    	 2.47968E+07	 1.84268E+07	-4.92191E+06	 1.35049E+07	 8.92106E+06	 3.23337E+06	 1.35049E+06
   153.000    	 7.66007E-02	  9.0000    	  3.1406    	 1.63573E-02	  7.3617    	 2.82702E-03	  1.3819    	 0.69096    	  0.0000    	 0.69096    	 1.53993E-02	 0.67556    	  0.0000    	  0.0000    	  7.2955    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 3.26173E-02	 3.26173E-02	 5.16029E-02	  6.4744    	  0.0000    	  0.0000    	 3.73549E-02	  5.9939    	 0.27828    	  9982.7    	  1.1314    	  1.1313    	  0.0000    	  0.0000    	  3.4850    	 0.10598    	 0.15000    	  6239.2    	 5.53623E-02	  1.7631    	  16.019    	 1.27335E+05	  0.0000    	 1.44383E-05	 2.16000E+07	  24.100    	  9.3000    	  1.3100    	  1.6000    	  16.163    	  332.83    	  204.12    	 0.20962    	-4.13727E-04	  203.92    	  471.47    	  4.6203    	 1.60304E-02	  466.83    	 -138.63    	-0.49616    	  0.0000    	 -138.14    	  128.71    	  3.9145    	 1.64442E-02	  124.78    	  23.972    	  23.641    	  36.978    	  23.655    	 2.16000E+07	 1.56950E+07	-5.22868E+06	 1.04664E+07	 4.45523E+06	 4.96449E+06	 1.04664E+06
